,Bins,Contribution,accum,step1,step2,mapped
104,1.03,5266,3.904284387,0.232836385792,190.748578265,96.2132491086
105,1.04,4619,3.837105177,0.204229256736,190.952807522,96.2895299415
106,1.05,4375,3.773474727,0.193440787664,191.14624831,96.3564386325
107,1.06,4458,3.708637117,0.19711063575,191.343358946,96.4198128527
108,1.07,3952,3.651158823,0.174737826937,191.518096773,96.4843893724
109,1.08,3623,3.598465539,0.160191079705,191.678287852,96.5416362108
110,1.09,5281,3.521658132,0.23349961135,191.911787464,96.5941173079
111,1.1,3383,3.472455433,0.149579470781,192.061366934,96.6706154238
112,1.11,3452,3.42224919,0.152630308347,192.213997243,96.7196199922
113,1.12,3382,3.373061035,0.149535255744,192.363532498,96.7696240627
114,1.13,3255,3.32571998,0.143919946022,192.507452445,96.8186141456
115,1.14,3289,3.277884426,0.145423257286,192.652875702,96.8657645654
116,1.15,3008,3.234135765,0.132998831839,192.785874534,96.9134074935
117,1.16,2799,3.193426822,0.123757889068,192.909632423,96.9569799859
118,1.17,2637,3.155074023,0.116595053045,193.026227476,96.9975250013
119,1.18,2454,3.119382795,0.108503701241,193.134731177,97.0357233599
120,1.19,3499,3.068492979,0.154708415094,193.289439592,97.0712708653
121,1.2,2567,3.031158268,0.113500000442,193.402939593,97.121955756
122,1.21,2476,2.995147069,0.109476432059,193.512416025,97.159140127
123,1.22,2516,2.958554107,0.111245033546,193.623661058,97.1950063142
124,1.23,2371,2.924070039,0.104833853155,193.728494911,97.2314519229
125,1.24,2565,2.886764416,0.113411570368,193.841906482,97.2657971289
126,1.25,2330,2.852876656,0.10302103663,193.944927518,97.3029525289
127,1.26,2270,2.819861543,0.1003681344,194.045295653,97.3367038279
128,1.27,2158,2.788475369,0.0954160502354,194.140711703,97.3695859947
129,1.28,2178,2.756798314,0.096300350979,194.237012054,97.4008457815
130,1.29,2278,2.723666848,0.100721854697,194.337733909,97.432395279
131,1.3,2539,2.686739371,0.112261979401,194.449995888,97.4653933301
132,1.31,2203,2.654698712,0.0974057269085,194.547401615,97.5021721061
133,1.32,2244,2.622061746,0.0992185434329,194.646620158,97.534083742
134,1.33,2227,2.589672029,0.0984668878008,194.745087046,97.5665892849
135,1.34,1989,2.560743809,0.0879437089519,194.833030755,97.5988485737
136,1.35,2036,2.531132016,0.0900218156993,194.923052571,97.6276603049
137,1.36,2080,2.500880282,0.0919672773353,195.015019848,97.6571528563
