Bins,Contribution,accum
-10.00,18,99.45639799
-9.99,18,99.45560211
-9.98,0,99.45480624
-9.97,0,99.45480624
-9.96,0,99.45480624
-9.95,0,99.45480624
-9.94,0,99.45480624
-9.93,0,99.45480624
-9.92,0,99.45480624
-9.91,0,99.45480624
-9.90,0,99.45480624
-9.89,0,99.45480624
-9.88,0,99.45480624
-9.87,0,99.45480624
-9.86,0,99.45480624
-9.85,0,99.45480624
-9.84,0,99.45480624
-9.83,0,99.45480624
-9.82,0,99.45480624
-9.81,0,99.45480624
-9.80,0,99.45480624
-9.79,0,99.45480624
-9.78,0,99.45480624
-9.77,0,99.45480624
-9.76,0,99.45480624
-9.75,0,99.45480624
-9.74,0,99.45480624
-9.73,0,99.45480624
-9.72,0,99.45480624
-9.71,0,99.45480624
-9.70,0,99.45480624
-9.69,0,99.45480624
-9.68,0,99.45480624
-9.67,0,99.45480624
-9.66,0,99.45480624
-9.65,0,99.45480624
-9.64,0,99.45480624
-9.63,0,99.45480624
-9.62,0,99.45480624
-9.61,0,99.45480624
-9.60,0,99.45480624
-9.59,1,99.45480624
-9.58,0,99.45476203
-9.57,0,99.45476203
-9.56,0,99.45476203
-9.55,0,99.45476203
-9.54,0,99.45476203
-9.53,0,99.45476203
-9.52,0,99.45476203
-9.51,0,99.45476203
-9.50,0,99.45476203
-9.49,0,99.45476203
-9.48,0,99.45476203
-9.47,0,99.45476203
-9.46,0,99.45476203
-9.45,0,99.45476203
-9.44,0,99.45476203
-9.43,0,99.45476203
-9.42,0,99.45476203
-9.41,0,99.45476203
-9.40,0,99.45476203
-9.39,0,99.45476203
-9.38,0,99.45476203
-9.37,0,99.45476203
-9.36,0,99.45476203
-9.35,0,99.45476203
-9.34,5,99.45476203
-9.33,0,99.45454095
-9.32,1,99.45454095
-9.31,0,99.45449674
-9.30,0,99.45449674
-9.29,0,99.45449674
-9.28,0,99.45449674
-9.27,0,99.45449674
-9.26,0,99.45449674
-9.25,0,99.45449674
-9.24,0,99.45449674
-9.23,0,99.45449674
-9.22,0,99.45449674
-9.21,0,99.45449674
-9.20,0,99.45449674
-9.19,0,99.45449674
-9.18,0,99.45449674
-9.17,0,99.45449674
-9.16,0,99.45449674
-9.15,0,99.45449674
-9.14,0,99.45449674
